#####################################################################################################
# NeXus source file: SAXS-d1.2m
# NXdata: name = img{0}_azimuthalIntegration_Px_16
#
#
# Exposure_msec                                     600000.0 + 0.0
# _diffrn_source.source                             Xenocs - Soleil SWING
# _diffrn_sofware                                   Foxtrot 3.4.9-3471
# _diffrn_detector.detector                         not specified
# _diffrn_comment.comment                           _
# _sas_detc.pixnum_ax                               [487]
# _sas_detc.pixnum_eq                               [407]
# _sas_detc.pixsize                                 172.0
# _sas_detc.center_ax                               30.771
# _sas_detc.center_eq                               381.118
# _sas_detc.dist_spec/detc                          1194.38
# _sas_detc.energy                                  nan
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.54189
# _sas_detc.bias                                    0
# _sas_detc.mask                                    /data0/images/inhouse/GustavoQuintero_20240430/mask2.txt
# Normalization                                     false
# Normalization Factor                              1.0
# Normalization Monitor                             null
# Normalization Intensity                           1.0
# Bsx                                               0.0
# Bsz                                               0.0
# Center_1                                          30.771
# Center_2                                          381.118
# DDummy                                            0.6
# Date                                              2024-04-30 12:14:42
# Ddelta                                            0.0
# Det                                               0.0
# Detector                                          0.0
# Detx                                              33.0
# Detz                                              13.5
# Dummy                                             -1.5
# EDF_BinarySize                                    792836.0
# EDF_DataBlockID                                   0.0
# EDF_HeaderSize                                    1536.0
# ExposureTime                                      600.0
# Gamma                                             0.0
# HeaderID                                          EH:000000:000000:000000
# Intensity1                                        1.0E-15
# Monitor                                           0.0
# Om                                                -2.60243E-8
# PSize_1                                           1.72E-4
# PSize_2                                           1.72E-4
# Pil_Roi0                                          329.477
# Pilct0                                            98053.2
# Pilct1                                            3552720.0
# Pilroi0                                           329.477
# Pilroi1                                           3552720.0
# RetriggerMode                                     0.0
# S1bot                                             0.6
# S1hl                                              0.6
# S1hr                                              0.6
# S1top                                             0.6
# S2bot                                             0.4
# S2hl                                              0.4
# S2hr                                              0.4
# S2top                                             0.4
# SampleDistance                                    1.19438
# Sec                                               1.003
# Size                                              792836.0
# Temperature                                       nan
# Thickness                                         0.0
# Title                                             GustavoQuintero_20240430_0_00008.edf
# WaveLength                                        1.54189E-10
# X                                                 -20.8742
# Z                                                 -12.5
#####################################################################################################
q(A-1)                                            I(q)GustavoQuintero_20240430_0_00008.edf{0}_AzInt_Px_16     Sig(q)GustavoQuintero_20240430_0_00008.edf{0}_AzInt_Px_16   2Theta(degrees)                                   
0.0                                               nan                                                         nan                                                         0.0                                               
0.000586830121343                                 nan                                                         nan                                                         0.0082510373651                                   
0.0011736602153                                   nan                                                         nan                                                         0.016502074388                                    
0.0017604902545                                   nan                                                         nan                                                         0.0247531107264                                   
0.00234732021155                                  nan                                                         nan                                                         0.0330041460382                                   
0.00293415005907                                  nan                                                         nan                                                         0.041255179981                                    
0.00352097976968                                  nan                                                         nan                                                         0.0495062122128                                   
0.004107809316                                    nan                                                         nan                                                         0.0577572423912                                   
0.00469463867065                                  nan                                                         nan                                                         0.066008270174                                    
0.00528146780624                                  nan                                                         nan                                                         0.0742592952191                                   
0.00586829669539                                  nan                                                         nan                                                         0.0825103171841                                   
0.00645512531072                                  nan                                                         nan                                                         0.0907613357269                                   
0.00704195362485                                  nan                                                         nan                                                         0.0990123505053                                   
0.00762878161039                                  nan                                                         nan                                                         0.107263361177                                    
0.00821560923998                                  nan                                                         nan                                                         0.1155143674                                      
0.00880243648621                                  nan                                                         nan                                                         0.123765368832                                    
0.00938926332172                                  5.55592483847                                               1.05413178332                                               0.13201636513                                     
0.00997608971912                                  7.28123549735                                               0.501078180834                                              0.140267355953                                    
0.010562915651                                    5.21669478158                                               0.302525839395                                              0.148518340958                                    
0.0111497410901                                   4.56659233482                                               0.216976496818                                              0.156769319803                                    
0.0117365660089                                   3.99854748783                                               0.188949096547                                              0.165020292146                                    
0.01232339038                                     3.96773424015                                               0.181837580252                                              0.173271257645                                    
0.0129102141762                                   3.56590362126                                               0.168229749117                                              0.181522215957                                    
0.0134970373699                                   3.09117309182                                               0.152454207587                                              0.189773166741                                    
0.0140838599339                                   2.97569554184                                               0.15014510305                                               0.198024109653                                    
0.0146706818407                                   2.45426605011                                               0.128342917499                                              0.206275044352                                    
0.015257503063                                    2.51547167385                                               0.130371728686                                              0.214525970496                                    
0.0158443235734                                   2.16512033313                                               0.123918568329                                              0.222776887742                                    
0.0164311433445                                   2.23495838473                                               0.126803901498                                              0.231027795749                                    
0.0170179623489                                   2.02847028456                                               0.119521444601                                              0.239278694173                                    
0.0176047805592                                   1.92328850177                                               0.113235517031                                              0.247529582674                                    
0.0181915979482                                   1.74932069843                                               0.112590478694                                              0.255780460908                                    
0.0187784144883                                   1.70523178683                                               0.112809643703                                              0.264031328533                                    
0.0193652301522                                   1.72120764059                                               0.116418534539                                              0.272282185208                                    
0.0199520449126                                   1.54323724818                                               0.108127756349                                              0.28053303059                                     
0.020538858742                                    1.58893119586                                               0.110557737956                                              0.288783864337                                    
0.0211256716131                                   1.48170766463                                               0.10844380449                                               0.297034686106                                    
0.0217124834985                                   1.3910378826                                                0.104249442509                                              0.305285495557                                    
0.0222992943709                                   1.4209325342                                                0.105363817674                                              0.313536292345                                    
0.0228861042027                                   1.31297600764                                               0.102082993416                                              0.32178707613                                     
0.0234729129668                                   1.17592599291                                               0.096227442241                                              0.330037846569                                    
0.0240597206356                                   1.41161084616                                               0.105848223999                                              0.33828860332                                     
0.0246465271819                                   1.23732353893                                               0.0983215164204                                             0.346539346041                                    
0.0252333325782                                   1.19330805778                                               0.0954449881338                                             0.35479007439                                     
0.0258201367972                                   1.26642753543                                               0.0990851096583                                             0.363040788023                                    
0.0264069398114                                   1.39816038848                                               0.103313369843                                              0.371291486601                                    
0.0269937415936                                   1.15401324291                                               0.0917823991423                                             0.379542169779                                    
0.0275805421163                                   1.16394418834                                               0.093906149596                                              0.387792837217                                    
0.0281673413522                                   1.18640207101                                               0.0923898178336                                             0.396043488571                                    
0.0287541392739                                   1.06944128236                                               0.0890077465876                                             0.404294123501                                    
0.029340935854                                    1.21569719981                                               0.0938620535698                                             0.412544741663                                    
0.0299277310651                                   1.09934294927                                               0.0870763398154                                             0.420795342716                                    
0.03051452488                                     1.08616299656                                               0.0893709371627                                             0.429045926317                                    
0.0311013172711                                   1.09765863132                                               0.0861235185707                                             0.437296492124                                    
0.0316881082112                                   1.03179692257                                               0.0858524696918                                             0.445547039796                                    
0.0322748976728                                   1.04008114753                                               0.0838345789317                                             0.45379756899                                     
0.0328616856286                                   1.01179058853                                               0.082686696739                                              0.462048079364                                    
0.0334484720512                                   0.937390160678                                              0.080131950353                                              0.470298570575                                    
0.0340352569133                                   0.848274883715                                              0.0744638199253                                             0.478549042283                                    
0.0346220401874                                   1.05560144633                                               0.0838934146754                                             0.486799494145                                    
0.0352088218463                                   0.974154282371                                              0.0785253073985                                             0.495049925818                                    
0.0357956018625                                   0.871361891063                                              0.0757186079456                                             0.503300336961                                    
0.0363823802086                                   0.880717682777                                              0.0758749830968                                             0.511550727231                                    
0.0369691568574                                   0.904653356973                                              0.074964382946                                              0.519801096287                                    
0.0375559317814                                   0.967099836284                                              0.0782410694801                                             0.528051443786                                    
0.0381427049533                                   0.930366926662                                              0.0757876014383                                             0.536301769387                                    
0.0387294763456                                   1.03699699778                                               0.0800130204617                                             0.544552072747                                    
0.0393162459311                                   0.91293837661                                               0.0755424492891                                             0.552802353524                                    
0.0399030136824                                   1.01752011135                                               0.0773710112674                                             0.561052611377                                    
0.040489779572                                    0.917315898065                                              0.0752547836079                                             0.569302845963                                    
0.0410765435727                                   0.90047005643                                               0.0719437565689                                             0.57755305694                                     
0.0416633056571                                   1.01519791831                                               0.0779742440922                                             0.585803243966                                    
0.0422500657978                                   0.878622244423                                              0.0712710342271                                             0.594053406699                                    
0.0428368239674                                   0.915921399975                                              0.0725588638355                                             0.602303544798                                    
0.0434235801386                                   0.933355664788                                              0.0738860613564                                             0.61055365792                                     
0.044010334284                                    0.766079550984                                              0.0661692031358                                             0.618803745723                                    
0.0445970863763                                   0.789215419563                                              0.0667805761431                                             0.627053807865                                    
0.0451838363881                                   0.762017265223                                              0.0643596303979                                             0.635303844004                                    
0.045770584292                                    0.879510327644                                              0.0701027492714                                             0.643553853799                                    
0.0463573300607                                   0.863767049842                                              0.0690877713783                                             0.651803836907                                    
0.0469440736668                                   0.897742480013                                              0.070239825233                                              0.660053792986                                    
0.047530815083                                    0.985846291986                                              0.0728102374305                                             0.668303721694                                    
0.0481175542819                                   0.887564498952                                              0.0685353249055                                             0.67655362269                                     
0.0487042912361                                   0.780778786814                                              0.0651480801786                                             0.684803495631                                    
0.0492910259183                                   0.826784375171                                              0.0654583621804                                             0.693053340176                                    
0.0498777583011                                   0.939258255725                                              0.0703176762436                                             0.701303155983                                    
0.0504644883572                                   0.895256958201                                              0.0684710715037                                             0.709552942709                                    
0.0510512160592                                   0.842838189179                                              0.0650873647338                                             0.717802700013                                    
0.0516379413798                                   0.978742812199                                              0.0717810485279                                             0.726052427553                                    
0.0522246642916                                   0.798700370448                                              0.0624264319955                                             0.734302124987                                    
0.0528113847672                                   0.953223868482                                              0.0695695270677                                             0.742551791972                                    
0.0533981027793                                   1.03297950409                                               0.0720568456169                                             0.750801428168                                    
0.0539848183006                                   0.804416901202                                              0.0631134726782                                             0.759051033233                                    
0.0545715313037                                   0.743956469238                                              0.0613055206151                                             0.767300606824                                    
0.0551582417612                                   0.782068332246                                              0.0603202039119                                             0.775550148599                                    
0.0557449496459                                   0.80898092462                                               0.0631367290894                                             0.783799658217                                    
0.0563316549303                                   0.758934669736                                              0.0602686273542                                             0.792049135336                                    
0.056918357587                                    0.778280988419                                              0.0611786788018                                             0.800298579614                                    
0.0575050575889                                   0.819436657822                                              0.0629270523477                                             0.808547990709                                    
0.0580917549084                                   0.82542927305                                               0.0615428896972                                             0.81679736828                                     
0.0586784495183                                   0.907449184661                                              0.0652813155026                                             0.825046711984                                    
0.0592651413912                                   0.777761541519                                              0.0598773076826                                             0.83329602148                                     
0.0598518304998                                   0.813888430125                                              0.0604227206081                                             0.841545296427                                    
0.0604385168167                                   0.799100164864                                              0.0614050846323                                             0.849794536481                                    
0.0610252003145                                   0.829848527983                                              0.0608763292655                                             0.858043741302                                    
0.061611880966                                    0.921433922337                                              0.0653250403642                                             0.866292910547                                    
0.0621985587439                                   0.679854807346                                              0.0544962017657                                             0.874542043875                                    
0.0627852336206                                   0.82756789789                                               0.0601258742282                                             0.882791140945                                    
0.063371905569                                    0.729705674975                                              0.0570858710403                                             0.891040201414                                    
0.0639585745616                                   0.747300979451                                              0.0575140301782                                             0.89928922494                                     
0.0645452405712                                   0.744022756984                                              0.0571356812343                                             0.907538211183                                    
0.0651319035704                                   0.712450255141                                              0.0546086623954                                             0.9157871598                                      
0.0657185635318                                   0.72714487849                                               0.0559952521325                                             0.924036070449                                    
0.0663052204281                                   0.706327039228                                              0.0551880647489                                             0.932284942789                                    
0.0668918742321                                   0.723026508599                                              0.0554792975416                                             0.940533776479                                    
0.0674785249163                                   0.785092801808                                              0.0575672714918                                             0.948782571176                                    
0.0680651724534                                   0.74526376025                                               0.0553914515161                                             0.957031326538                                    
0.0686518168161                                   0.882316140723                                              0.0611573367842                                             0.965280042225                                    
0.069238457977                                    0.773012645127                                              0.0561829188615                                             0.973528717895                                    
0.0698250959089                                   0.729720697204                                              0.0543657642256                                             0.981777353205                                    
0.0704117305843                                   0.767324184042                                              0.0558623427654                                             0.990025947814                                    
0.070998361976                                    0.665851765665                                              0.0516199591663                                             0.998274501382                                    
0.0715849900566                                   0.725037600788                                              0.0548620798257                                             1.00652301356                                     
0.0721716147989                                   0.747525691462                                              0.0541558217313                                             1.01477148402                                     
0.0727582361754                                   0.789536873548                                              0.0558765771612                                             1.02301991241                                     
0.0733448541589                                   0.696883045487                                              0.0522896081092                                             1.03126829839                                     
0.073931468722                                    0.716496429677                                              0.053229694973                                              1.03951664163                                     
0.0745180798373                                   0.706279549021                                              0.052744889691                                              1.04776494177                                     
0.0751046874777                                   0.724809203557                                              0.052812390858                                              1.05601319847                                     
0.0756912916157                                   0.677914320487                                              0.0514730389913                                             1.0642614114                                      
0.0762778922241                                   0.685638121956                                              0.0509752837955                                             1.07250958022                                     
0.0768644892754                                   0.648311416857                                              0.049948340155                                              1.08075770458                                     
0.0774510827425                                   0.671552962987                                              0.0501651574685                                             1.08900578413                                     
0.0780376725979                                   0.637035803073                                              0.0486771615526                                             1.09725381855                                     
0.0786242588144                                   0.631732713303                                              0.0491176189649                                             1.10550180748                                     
0.0792108413646                                   0.693886616083                                              0.0503375481846                                             1.11374975059                                     
0.0797974202212                                   0.688128831402                                              0.0506865106256                                             1.12199764754                                     
0.080383995357                                    0.66330381219                                               0.0492161596823                                             1.13024549798                                     
